Year,Month,Harbor name,Ship count,Weight
2011,4,포항,262,"3,405,550"
2011,4,마산,139,"2,216,073"
2011,4,삼천포,9,"381,521"
2011,4,옥포,4,"32,893"
2011,4,장승포,0,0
2011,4,진해,18,"153,960"
2011,4,통영,28,"17,257"
2011,4,고현,8,"19,469"
2011,4,하동,11,"580,161"
2011,4,울산,812,"14,700,932"
2011,4,제주,9,"113,585"
2011,4,서귀포,0,0
2011,4,기타,0,0
2011,5,부산,"1,674","38,370,050"
2011,5,인천,642,"11,206,880"
2011,5,평택.당진,382,"9,080,039"
2011,5,경인항,0,0
2011,5,동해.묵호,93,"947,071"
2011,5,삼척,10,"17,316"
2011,5,속초,7,"2,381"
2011,5,옥계,6,"167,718"
2011,5,호산,0,0
2011,5,대산,124,"3,134,969"
2011,5,보령,10,"517,136"
2011,5,태안,12,"613,740"
2011,5,군산,124,"2,968,543"
2011,5,장항,6,"13,585"
2011,5,목포,72,"1,390,338"
2011,5,완도,1,"1,328"
2011,5,여수,122,"3,873,365"
2011,5,광양,619,"18,279,497"
2011,5,포항,272,"2,989,012"
2011,5,마산,143,"2,478,833"
2011,5,삼천포,10,"428,961"
2011,5,옥포,8,"20,586"
2011,5,장승포,0,0
2011,5,진해,12,"120,111"
2011,5,통영,14,"15,761"
2011,5,고현,8,"26,515"
2011,5,하동,11,"585,466"
2011,5,울산,746,"14,243,205"
2011,5,제주,24,"523,314"
2011,5,서귀포,0,0
2011,5,기타,0,0
2011,6,부산,"1,557","36,519,899"
2011,6,인천,518,"9,439,836"
2011,6,평택.당진,390,"9,482,973"
2011,6,경인항,0,0
2011,6,동해.묵호,74,"789,533"
2011,6,삼척,11,"17,217"
2011,6,속초,9,"2,858"
2011,6,옥계,5,"129,639"
2011,6,호산,0,0
2011,6,대산,150,"3,412,966"
2011,6,보령,9,"451,105"
2011,6,태안,11,"607,487"
2011,6,군산,126,"3,168,975"
2011,6,장항,4,"8,770"
2011,6,목포,76,"1,559,736"
2011,6,완도,2,"1,439"
2011,6,여수,75,"2,185,179"
2011,6,광양,601,"17,571,429"
2011,6,포항,244,"3,060,948"
2011,6,마산,137,"2,207,186"
2011,6,삼천포,10,"382,297"
2011,6,옥포,7,"35,733"
2011,6,장승포,0,0
