,Year,Month,Harbor name,Ship count,Weight
308,2010,10,마산,132,"2,398,898"
309,2010,10,삼천포,8,"340,819"
310,2010,10,옥포,11,"35,631"
311,2010,10,장승포,0,0
312,2010,10,진해,18,"161,166"
313,2010,10,통영,20,"11,390"
314,2010,10,고현,16,"107,006"
315,2010,10,하동,11,"558,950"
316,2010,10,울산,674,"12,337,801"
317,2010,10,제주,19,"508,762"
318,2010,10,서귀포,0,0
319,2010,10,기타,0,0
320,2010,11,항만명,"5,093","105,014,738"
321,2010,11,부산,"1,689","34,106,738"
322,2010,11,인천,639,"11,621,026"
323,2010,11,평택.당진,353,"8,490,364"
324,2010,11,경인항,0,0
325,2010,11,동해.묵호,83,"1,061,139"
326,2010,11,삼척,10,"17,182"
327,2010,11,속초,7,"3,962"
328,2010,11,옥계,8,"168,208"
329,2010,11,호산,0,0
330,2010,11,대산,130,"2,994,478"
331,2010,11,보령,8,"446,741"
332,2010,11,태안,12,"598,398"
333,2010,11,군산,124,"3,087,175"
334,2010,11,장항,9,"18,472"
335,2010,11,목포,71,"1,618,180"
336,2010,11,완도,2,844
337,2010,11,여수,128,"4,038,150"
338,2010,11,광양,610,"16,865,703"
339,2010,11,포항,269,"3,433,704"
340,2010,11,마산,134,"2,236,023"
341,2010,11,삼천포,4,"213,955"
342,2010,11,옥포,12,"57,249"
343,2010,11,장승포,0,0
344,2010,11,진해,10,"115,291"
345,2010,11,통영,30,"21,853"
346,2010,11,고현,12,"78,080"
347,2010,11,하동,12,"646,520"
348,2010,11,울산,719,"12,940,689"
349,2010,11,제주,8,"134,614"
350,2010,11,서귀포,0,0
351,2010,11,기타,0,0
352,2010,12,항만명,"4,912","103,609,203"
353,2010,12,부산,"1,638","35,251,713"
354,2010,12,인천,646,"11,212,622"
355,2010,12,평택.당진,311,"8,666,477"
356,2010,12,경인항,0,0
357,2010,12,동해.묵호,86,"683,365"
358,2010,12,삼척,7,"12,613"
359,2010,12,속초,5,"2,843"
360,2010,12,옥계,6,"142,936"
361,2010,12,호산,0,0
362,2010,12,대산,124,"3,248,111"
363,2010,12,보령,7,"337,470"
364,2010,12,태안,8,"342,702"
