,Ship Company,Enter Time,Out Time,Duration days,Duration hours,Total duration(Hours),Day difference
135,DJS,2012-12-13 08:00:00,2012-12-13 11:00:00,1,21:00:00,45,-1 days +21:00:00
136,SKR,2012-12-14 09:00:00,2012-12-14 11:00:00,1,22:00:00,46,-1 days +22:00:00
137,DJS,2012-12-14 22:05:00,2012-12-15 04:00:00,1,18:05:00,42,-1 days +18:05:00
138,SKR,2012-12-15 12:30:00,2012-12-15 15:00:00,1,21:30:00,45,-1 days +21:30:00
139,SKR,2012-12-18 19:30:00,2012-12-18 22:00:00,1,21:30:00,45,-1 days +21:30:00
140,SKR,2012-12-21 07:10:00,2012-12-21 08:00:00,1,23:10:00,47,-1 days +23:10:00
141,DJS,2012-12-21 22:00:00,2012-12-22 03:00:00,1,19:00:00,43,-1 days +19:00:00
142,DJS,2012-12-25 05:40:00,2012-12-25 09:00:00,1,20:40:00,44,-1 days +20:40:00
143,SKR,2012-12-25 16:20:00,2012-12-25 20:15:00,1,20:05:00,44,-1 days +20:05:00
144,DJS,2012-12-28 20:00:00,2012-12-28 23:00:00,1,21:00:00,45,-1 days +21:00:00
145,SKR,2012-12-29 10:50:00,2012-12-29 13:30:00,1,21:20:00,45,-1 days +21:20:00
146,DJS,2012-12-30 04:10:00,2012-12-30 06:00:00,1,22:10:00,46,-1 days +22:10:00
147,SKR,2013-01-03 22:00:00,2013-01-04 05:00:00,1,17:00:00,41,-1 days +17:00:00
148,SKR,2013-01-05 15:35:00,2013-01-05 17:00:00,1,22:35:00,46,-1 days +22:35:00
149,SKR,2013-01-08 16:20:00,2013-01-08 20:00:00,1,20:20:00,44,-1 days +20:20:00
150,DJS,2013-01-09 20:00:00,2013-01-10 00:00:00,1,20:00:00,44,-1 days +20:00:00
151,SKR,2013-01-11 08:00:00,2013-01-11 10:00:00,1,22:00:00,46,-1 days +22:00:00
152,DJS,2013-01-11 15:20:00,2013-01-11 18:00:00,1,21:20:00,45,-1 days +21:20:00
153,SKR,2013-01-12 13:00:00,2013-01-12 15:00:00,1,22:00:00,46,-1 days +22:00:00
154,DJS,2013-01-14 20:10:00,2013-01-15 10:00:00,1,10:10:00,34,-1 days +10:10:00
155,SKR,2013-01-15 16:00:00,2013-01-15 20:00:00,1,20:00:00,44,-1 days +20:00:00
156,DJS,2013-01-16 17:10:00,2013-01-16 21:00:00,1,20:10:00,44,-1 days +20:10:00
157,DJS,2013-01-18 15:30:00,2013-01-18 20:00:00,1,19:30:00,43,-1 days +19:30:00
158,SKR,2013-01-18 20:00:00,2013-01-18 22:00:00,1,22:00:00,46,-1 days +22:00:00
159,SKR,2013-01-20 00:00:00,2013-01-20 02:00:00,1,22:00:00,46,-1 days +22:00:00
160,DJS,2013-01-21 19:30:00,2013-01-22 09:00:00,1,10:30:00,34,-1 days +10:30:00
161,SKR,2013-01-22 16:20:00,2013-01-22 21:00:00,1,19:20:00,43,-1 days +19:20:00
162,DJS,2013-01-23 20:10:00,2013-01-24 00:00:00,1,20:10:00,44,-1 days +20:10:00
163,SKR,2013-01-25 10:00:00,2013-01-25 12:00:00,1,22:00:00,46,-1 days +22:00:00
164,DJS,2013-01-25 17:50:00,2013-01-25 22:00:00,1,19:50:00,43,-1 days +19:50:00
165,PCL,2013-01-27 00:15:00,2013-01-27 06:00:00,1,18:15:00,42,-1 days +18:15:00
166,SKR,2013-01-27 04:10:00,2013-01-27 06:30:00,1,21:40:00,45,-1 days +21:40:00
167,DJS,2013-01-28 20:20:00,2013-01-29 08:00:00,1,12:20:00,36,-1 days +12:20:00
168,SKR,2013-01-29 18:10:00,2013-01-29 20:00:00,1,22:10:00,46,-1 days +22:10:00
169,DJS,2013-01-30 20:10:00,2013-01-30 23:30:00,1,20:40:00,44,-1 days +20:40:00
170,SKR,2013-02-01 06:20:00,2013-02-01 09:00:00,1,21:20:00,45,-1 days +21:20:00
171,DJS,2013-02-01 21:00:00,2013-02-02 00:00:00,1,21:00:00,45,-1 days +21:00:00
172,SKR,2013-02-02 13:00:00,2013-02-02 16:00:00,1,21:00:00,45,-1 days +21:00:00
173,DJS,2013-02-04 20:00:00,2013-02-05 06:00:00,1,14:00:00,38,-1 days +14:00:00
174,SKR,2013-02-05 16:10:00,2013-02-05 20:00:00,1,20:10:00,44,-1 days +20:10:00
175,DJS,2013-02-06 20:20:00,2013-02-07 00:00:00,1,20:20:00,44,-1 days +20:20:00
176,DJS,2013-02-08 04:40:00,2013-02-08 08:00:00,1,20:40:00,44,-1 days +20:40:00
177,SKR,2013-02-09 12:10:00,2013-02-09 14:00:00,1,22:10:00,46,-1 days +22:10:00
178,SKR,2013-02-09 16:00:00,2013-02-09 19:00:00,1,21:00:00,45,-1 days +21:00:00
179,PCL,2013-02-09 20:10:00,2013-02-10 00:00:00,1,20:10:00,44,-1 days +20:10:00
180,SKR,2013-02-12 06:30:00,2013-02-12 08:59:00,1,21:31:00,45,-1 days +21:31:00
181,DJS,2013-02-13 17:00:00,2013-02-13 19:00:00,1,22:00:00,46,-1 days +22:00:00
182,SKR,2013-02-15 08:15:00,2013-02-15 11:00:00,1,21:15:00,45,-1 days +21:15:00
183,DJS,2013-02-15 20:00:00,2013-02-16 00:00:00,1,20:00:00,44,-1 days +20:00:00
184,SKR,2013-02-16 13:00:00,2013-02-16 14:30:00,1,22:30:00,46,-1 days +22:30:00
185,DJS,2013-02-18 20:00:00,2013-02-19 08:00:00,1,12:00:00,36,-1 days +12:00:00
186,SKR,2013-02-19 16:00:00,2013-02-19 19:00:00,1,21:00:00,45,-1 days +21:00:00
187,DJS,2013-02-21 02:00:00,2013-02-21 04:00:00,1,22:00:00,46,-1 days +22:00:00
188,SKR,2013-02-22 05:40:00,2013-02-22 08:20:00,1,21:20:00,45,-1 days +21:20:00
189,DJS,2013-02-22 09:00:00,2013-02-22 11:30:00,1,21:30:00,45,-1 days +21:30:00
190,SKR,2013-02-23 14:40:00,2013-02-23 17:00:00,1,21:40:00,45,-1 days +21:40:00
191,DJS,2013-02-25 20:00:00,2013-02-26 06:00:00,1,14:00:00,38,-1 days +14:00:00
192,SKR,2013-02-26 17:00:00,2013-02-26 20:00:00,1,21:00:00,45,-1 days +21:00:00
193,DJS,2013-02-27 20:05:00,2013-02-28 05:00:00,1,15:05:00,39,-1 days +15:05:00
194,SKR,2013-03-01 06:00:00,2013-03-01 08:00:00,1,22:00:00,46,-1 days +22:00:00
195,DJS,2013-03-01 06:10:00,2013-03-01 08:00:00,1,22:10:00,46,-1 days +22:10:00
196,SKR,2013-03-02 13:30:00,2013-03-02 15:00:00,1,22:30:00,46,-1 days +22:30:00
197,DJS,2013-03-04 20:10:00,2013-03-05 06:00:00,1,14:10:00,38,-1 days +14:10:00
198,SKR,2013-03-05 16:00:00,2013-03-05 20:00:00,1,20:00:00,44,-1 days +20:00:00
199,SKR,2013-03-08 07:30:00,2013-03-08 10:00:00,1,21:30:00,45,-1 days +21:30:00
200,DJS,2013-03-08 15:40:00,2013-03-08 22:00:00,1,17:40:00,41,-1 days +17:40:00
201,SKR,2013-03-09 12:00:00,2013-03-09 16:00:00,1,20:00:00,44,-1 days +20:00:00
202,DJS,2013-03-11 20:00:00,2013-03-12 01:00:00,1,19:00:00,43,-1 days +19:00:00
203,SKR,2013-03-12 16:10:00,2013-03-12 20:00:00,1,20:10:00,44,-1 days +20:10:00
204,DJS,2013-03-15 10:00:00,2013-03-15 16:00:00,1,18:00:00,42,-1 days +18:00:00
205,SKR,2013-03-16 08:20:00,2013-03-16 11:10:00,1,21:10:00,45,-1 days +21:10:00
206,DJS,2013-03-17 04:00:00,2013-03-17 08:00:00,1,20:00:00,44,-1 days +20:00:00
207,SKR,2013-03-19 17:00:00,2013-03-19 20:00:00,1,21:00:00,45,-1 days +21:00:00
208,DJS,2013-03-22 04:10:00,2013-03-22 08:00:00,1,20:10:00,44,-1 days +20:10:00
209,DJS,2013-03-25 20:50:00,2013-03-26 02:00:00,1,18:50:00,42,-1 days +18:50:00
210,SKR,2013-03-26 16:00:00,2013-03-26 20:00:00,1,20:00:00,44,-1 days +20:00:00
211,DJS,2013-03-29 03:00:00,2013-03-29 08:00:00,1,19:00:00,43,-1 days +19:00:00
212,SKR,2013-03-29 07:00:00,2013-03-29 10:00:00,1,21:00:00,45,-1 days +21:00:00
213,SKR,2013-03-30 12:00:00,2013-03-30 15:00:00,1,21:00:00,45,-1 days +21:00:00
214,DJS,2013-04-01 01:30:00,2013-04-01 06:00:00,1,19:30:00,43,-1 days +19:30:00
215,SKR,2013-04-02 16:00:00,2013-04-02 20:00:00,1,20:00:00,44,-1 days +20:00:00
216,SKR,2013-04-05 06:00:00,2013-04-05 08:00:00,1,22:00:00,46,-1 days +22:00:00
217,DJS,2013-04-05 20:00:00,2013-04-06 00:00:00,1,20:00:00,44,-1 days +20:00:00
218,SKR,2013-04-06 10:00:00,2013-04-06 12:00:00,1,22:00:00,46,-1 days +22:00:00
219,SKR,2013-04-09 18:00:00,2013-04-09 20:30:00,1,21:30:00,45,-1 days +21:30:00
220,DJS,2013-04-12 19:50:00,2013-04-13 00:00:00,1,19:50:00,43,-1 days +19:50:00
221,DJS,2013-04-15 20:30:00,2013-04-16 02:00:00,1,18:30:00,42,-1 days +18:30:00
222,SKR,2013-04-16 21:00:00,2013-04-17 00:00:00,1,21:00:00,45,-1 days +21:00:00
223,DJS,2013-04-19 05:30:00,2013-04-19 11:00:00,1,18:30:00,42,-1 days +18:30:00
224,SKR,2013-04-20 02:00:00,2013-04-20 05:00:00,1,21:00:00,45,-1 days +21:00:00
225,SKR,2013-04-20 16:00:00,2013-04-20 20:00:00,1,20:00:00,44,-1 days +20:00:00
226,DJS,2013-04-22 05:20:00,2013-04-22 14:00:00,1,15:20:00,39,-1 days +15:20:00
227,SKR,2013-04-23 07:00:00,2013-04-23 08:00:00,1,23:00:00,47,-1 days +23:00:00
228,DJS,2013-04-26 05:20:00,2013-04-26 12:00:00,1,17:20:00,41,-1 days +17:20:00
229,SKR,2013-04-27 11:00:00,2013-04-27 16:30:00,1,18:30:00,42,-1 days +18:30:00
230,DJS,2013-04-29 11:30:00,2013-04-29 14:00:00,1,21:30:00,45,-1 days +21:30:00
